#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 03 10 21 999 99.0 99.0  1.42 15.38 10.69 315 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 10 51 999 99.0 99.0  1.19 15.38  9.41 317 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 11 21 999 99.0 99.0  1.51 15.38 10.82 317 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 11 51 999 99.0 99.0  1.54 15.38 10.66 315 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 12 21 999 99.0 99.0  1.60 15.38 11.03 317 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 12 51 999 99.0 99.0  1.50 15.38 10.30 315 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 03 13 21 999 99.0 99.0  1.45 15.38 10.22 318 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 03 13 51 999 99.0 99.0  1.56 15.38 10.59 319 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 03 14 21 999 99.0 99.0  1.44 15.38  9.42 317 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 03 14 51 999 99.0 99.0  1.37 15.38  8.73 324 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 15 21 999 99.0 99.0  1.39 14.29  8.75 324 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 15 51 999 99.0 99.0  1.41 14.29  8.60 319 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 03 16 21 999 99.0 99.0  1.52 14.29  9.07 312 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 03 16 51 999 99.0 99.0  1.52 14.29  8.50 319 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 17 21 999 99.0 99.0  1.65 14.29  8.67 312 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 17 51 999 99.0 99.0  1.70 14.29  9.06 314 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 18 21 999 99.0 99.0  1.58 14.29  8.39 315 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 18 51 999 99.0 99.0  1.84 14.29  9.22 319 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 19 21 999 99.0 99.0  1.61 13.33  8.26 317 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 19 51 999 99.0 99.0  1.66 13.33  8.23 315 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 20 21 999 99.0 99.0  1.49 13.33  7.99 317 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 20 51 999 99.0 99.0  1.46 13.33  7.19 315 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 21 21 999 99.0 99.0  1.36 13.33  6.64 315 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 21 51 999 99.0 99.0  1.43 13.33  7.03 315 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 22 21 999 99.0 99.0  1.31 14.29  6.66 315 9999.0 999.0  24.7 999.0 99.0 99.00
2010 01 03 22 51 999 99.0 99.0  1.43 13.33  7.43 325 9999.0 999.0  24.7 999.0 99.0 99.00
2010 01 03 23 21 999 99.0 99.0  1.50 13.33  7.82 321 9999.0 999.0  24.7 999.0 99.0 99.00
2010 01 03 23 51 999 99.0 99.0  1.44 12.50  7.92 317 9999.0 999.0  24.7 999.0 99.0 99.00
2010 01 04 00 21 999 99.0 99.0  1.51 13.33  7.83 318 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 04 00 51 999 99.0 99.0  1.53 13.33  8.06 324 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 04 01 21 999 99.0 99.0  1.43 13.33  7.90 317 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 01 51 999 99.0 99.0  1.35 13.33  7.49 326 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 02 21 999 99.0 99.0  1.48 13.33  7.69 319 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 02 51 999 99.0 99.0  1.47 12.50  7.64 331 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 03 21 999 99.0 99.0  1.49 12.50  7.45 321 9999.0 999.0  24.7 999.0 99.0 99.00
2010 01 04 03 51 999 99.0 99.0  1.44 14.29  6.95 325 9999.0 999.0  24.7 999.0 99.0 99.00
2010 01 04 04 21 999 99.0 99.0  1.53 13.33  7.36 315 9999.0 999.0  24.7 999.0 99.0 99.00
2010 01 04 04 51 999 99.0 99.0  1.49 12.50  7.01 314 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 04 05 21 999 99.0 99.0  1.67 11.76  7.58 319 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 04 05 51 999 99.0 99.0  1.63 13.33  7.36 312 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 04 06 21 999 99.0 99.0  1.69 12.50  7.04 319 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 04 06 51 999 99.0 99.0  1.63 11.76  6.82 318 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 04 07 21 999 99.0 99.0  1.81 13.33  7.06 318 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 04 07 51 999 99.0 99.0  1.91 13.33  7.49 321 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 04 08 21 999 99.0 99.0  1.82 11.11  7.27 328 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 04 08 51 999 99.0 99.0  1.74 13.33  7.47 321 9999.0 999.0  24.7 999.0 99.0 99.00
2010 01 04 09 21 999 99.0 99.0  1.71 12.50  7.24 321 9999.0 999.0  24.7 999.0 99.0 99.00
