date,YYYY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,date,year,month,day,nshor,wshor,almo,dh,winw,wspd,wdir,nsd,ssd
2010-03-15,2010.0,3.0,15.0,22.0,12.0,999.0,,,4.29,15.38,9.89,343.0,9999.0,999.0,23.2,999.0,,,2010-03-15 22:12:00,2010.0,3.0,15.0,15.0,8.0,1.0,2.0,4.0,5.0,3.0,16.0,999
2010-03-16,2010.0,3.0,16.0,17.0,12.0,999.0,,,3.77,13.33,9.72,331.0,9999.0,999.0,23.2,999.0,,,2010-03-16 17:12:00,2010.0,3.0,16.0,12.0,6.0,2.0,2.0,6.0,4.0,5.0,16.0,999
2010-03-17,2010.0,3.0,17.0,17.0,12.0,999.0,,,2.54,14.29,10.81,340.0,9999.0,999.0,23.9,999.0,,,2010-03-17 17:12:00,2010.0,3.0,17.0,8.0,4.0,2.0,3.0,5.0,2.0,17.0,1.0,8
2010-03-18,2010.0,3.0,18.0,20.0,12.0,999.0,,,2.35,7.14,6.16,10.0,9999.0,999.0,24.2,999.0,,,2010-03-18 20:12:00,2010.0,3.0,18.0,4.0,2.0,2.0,3.0,3.0,5.0,2.0,16.0,8
2010-03-19,2010.0,3.0,19.0,21.0,42.0,999.0,,,3.77,14.29,10.1,331.0,9999.0,999.0,23.7,999.0,,,2010-03-19 21:42:00,2010.0,3.0,19.0,10.0,6.0,3.0,4.0,4.0,5.0,3.0,16.0,8
2010-03-20,2010.0,3.0,20.0,19.0,12.0,999.0,,,2.26,13.33,7.15,326.0,9999.0,999.0,23.5,999.0,,,2010-03-20 19:12:00,2010.0,3.0,20.0,7.0,8.0,8.0,8.0,3.0,5.0,4.0,1.0,10
2010-03-21,2010.0,3.0,22.0,1.0,42.0,999.0,,,1.7,15.38,6.56,329.0,9999.0,999.0,23.6,999.0,,,2010-03-22 01:42:00,2010.0,3.0,21.0,4.0,8.0,8.0,8.0,3.0,4.0,5.0,15.0,10
2010-03-22,2010.0,3.0,23.0,1.0,42.0,999.0,,,1.32,12.5,6.87,328.0,9999.0,999.0,24.1,999.0,,,2010-03-23 01:42:00,2010.0,3.0,22.0,3.0,4.0,4.0,4.0,3.0,2.0,17.0,16.0,10
2010-03-23,2010.0,3.0,23.0,20.0,12.0,999.0,,,3.01,15.38,13.12,332.0,9999.0,999.0,24.0,999.0,,,2010-03-23 20:12:00,2010.0,3.0,23.0,12.0,6.0,4.0,4.0,5.0,2.0,17.0,16.0,10
2010-03-24,2010.0,3.0,24.0,23.0,12.0,999.0,,,2.47,13.33,8.16,332.0,9999.0,999.0,24.1,999.0,,,2010-03-24 23:12:00,2010.0,3.0,24.0,8.0,4.0,3.0,4.0,5.0,5.0,4.0,16.0,10
